,성별,연령대,가구소득정도,사용목적1순위값,사용목적2순위값,평일일평균레저시간값,주말일평균레저시간값,휴식오락사용비율,취미사용비율,본인계발사용비율,대인관계교제사용비율,기타사용비율,관심레저활동1순위값,계절,위도,경도,또래인구수
9939,1,1,1,6,9,3,8,60.0,20.0,10.0,10.0,0.0,61,0,36.4919,128.8889,258107
9940,1,0,4,8,3,5,12,80.0,10.0,10.0,0.0,0.0,6,0,37.4138,127.5183,1677623
9941,0,3,2,5,0,1,3,50.0,10.0,30.0,10.0,0.0,30,0,35.5384,129.3114,203819
9942,0,4,4,8,1,4,3,40.0,25.0,15.0,20.0,0.0,5,0,36.5184,126.8,323902
9943,0,0,3,4,5,7,10,40.0,10.0,10.0,40.0,0.0,52,0,35.4606,128.2132,322143
9944,1,3,1,8,8,1,4,10.0,60.0,20.0,10.0,0.0,79,0,36.4919,128.8889,442662
9945,1,3,2,1,6,1,2,20.0,40.0,20.0,20.0,0.0,44,0,36.4919,128.8889,442662
9946,1,1,2,0,5,4,1,20.0,20.0,10.0,50.0,0.0,75,0,34.816,126.4629,169028
9947,0,0,4,3,9,7,10,84.0,10.0,5.0,1.0,0.0,66,0,37.4563,126.7052,362935
9948,0,0,0,6,0,0,10,40.0,0.0,0.0,60.0,0.0,63,0,35.5384,129.3114,122298
9949,0,4,1,8,0,3,3,0.0,50.0,0.0,50.0,0.0,12,0,37.5665,126.978,1301333
9950,1,3,2,0,5,1,3,40.0,20.0,10.0,30.0,0.0,5,0,35.1796,129.0756,537918
9951,1,2,3,1,5,2,5,30.0,50.0,0.0,20.0,0.0,59,0,37.4138,127.5183,2243227
9952,0,4,3,1,7,1,1,10.0,20.0,20.0,50.0,0.0,79,0,37.4138,127.5183,1819701
9953,1,0,2,5,9,3,12,80.0,10.0,0.0,10.0,0.0,80,0,36.48,127.289,37758
9954,1,2,0,8,3,2,4,80.0,20.0,0.0,0.0,0.0,52,0,34.816,126.4629,239871
9955,1,2,3,3,0,4,12,80.0,0.0,0.0,20.0,0.0,61,0,36.48,127.289,76961
9956,1,1,3,6,5,2,2,50.0,0.0,20.0,30.0,0.0,6,0,37.8228,128.1555,157997
9957,0,0,1,6,9,10,0,0.0,0.0,0.0,100.0,0.0,6,0,37.5665,126.978,1350822
9958,0,0,0,0,9,9,16,100.0,0.0,0.0,0.0,0.0,27,0,36.6357,127.4913,181330
9959,1,1,4,6,7,1,3,100.0,0.0,0.0,0.0,0.0,6,0,36.6357,127.4913,187136
9960,0,3,3,6,0,1,2,50.0,20.0,0.0,30.0,0.0,52,0,37.4138,127.5183,2318045
9961,0,2,3,3,0,2,3,70.0,0.0,10.0,20.0,0.0,61,0,37.5665,126.978,1406016
9962,0,4,1,8,7,8,8,50.0,50.0,0.0,0.0,0.0,49,0,37.5665,126.978,1301333
9963,1,4,3,5,0,3,6,30.0,15.0,35.0,20.0,0.0,49,0,37.4563,126.7052,438663
9964,0,1,4,8,6,1,5,0.0,90.0,0.0,10.0,0.0,15,0,35.7175,127.153,172410
9965,0,0,2,5,9,5,9,40.0,5.0,0.0,55.0,0.0,43,0,37.4138,127.5183,1677623
9966,0,4,3,4,8,5,4,30.0,20.0,10.0,30.0,10.0,5,0,35.7175,127.153,283963
9967,1,1,2,8,0,2,5,80.0,10.0,5.0,5.0,0.0,15,0,37.4138,127.5183,1871078
9968,1,2,1,8,6,5,5,50.0,0.0,50.0,0.0,0.0,6,0,37.4138,127.5183,2243227
9969,1,1,4,0,1,2,2,15.0,15.0,30.0,40.0,0.0,84,0,35.4606,128.2132,348910
9970,0,3,3,0,5,2,5,30.0,30.0,20.0,20.0,0.0,52,0,36.6357,127.4913,271144
9971,0,2,4,5,0,2,6,60.0,40.0,0.0,0.0,0.0,52,0,37.4138,127.5183,2243227
9972,0,4,1,5,1,3,8,30.0,10.0,10.0,40.0,10.0,69,0,36.5184,126.8,323902
9973,1,3,4,6,5,2,6,0.0,20.0,0.0,70.0,10.0,30,0,37.4138,127.5183,2318045
9974,0,1,3,5,8,4,2,70.0,10.0,10.0,10.0,0.0,59,0,36.4919,128.8889,258107
9975,1,2,4,6,5,3,12,40.0,5.0,30.0,5.0,20.0,80,0,37.4138,127.5183,2243227
9976,1,3,2,7,5,2,2,20.0,10.0,30.0,40.0,0.0,75,0,37.4138,127.5183,2318045
9977,1,4,4,1,4,5,5,20.0,50.0,30.0,0.0,0.0,49,0,35.1595,126.8526,184047
9978,1,3,4,0,1,1,3,0.0,0.0,0.0,60.0,40.0,75,0,37.4138,127.5183,2318045
9979,1,2,2,8,3,1,3,30.0,40.0,10.0,20.0,0.0,70,0,37.4138,127.5183,2243227
9980,0,3,2,8,5,15,4,20.0,10.0,20.0,50.0,0.0,30,0,35.1595,126.8526,239453
9981,1,1,2,5,0,2,5,30.0,5.0,5.0,10.0,50.0,73,0,37.4138,127.5183,1871078
9982,1,3,3,1,4,4,2,30.0,20.0,0.0,50.0,0.0,10,0,36.4919,128.8889,442662
9983,1,3,4,7,1,2,2,20.0,80.0,0.0,0.0,0.0,63,0,37.4138,127.5183,2318045
9984,0,2,4,8,1,2,2,30.0,20.0,10.0,40.0,0.0,32,0,37.4138,127.5183,2243227
9985,1,3,4,0,9,2,5,20.0,20.0,10.0,50.0,0.0,15,0,35.1796,129.0756,537918
9986,1,2,4,4,8,2,6,0.0,50.0,20.0,30.0,0.0,1,0,35.1796,129.0756,481534
9987,1,0,4,6,3,8,10,80.0,0.0,10.0,10.0,0.0,33,0,36.3504,127.3845,198812
9988,1,0,4,6,1,3,6,70.0,30.0,0.0,0.0,0.0,1,0,35.4606,128.2132,322143
9989,0,4,1,8,6,2,10,50.0,10.0,30.0,10.0,0.0,29,0,36.5184,126.8,323902
9990,1,4,4,1,5,3,2,30.0,40.0,0.0,30.0,0.0,5,0,35.1595,126.8526,184047
9991,1,4,2,8,1,10,10,20.0,60.0,0.0,20.0,0.0,15,0,37.4563,126.7052,438663
9992,1,1,2,0,6,1,1,10.0,20.0,70.0,0.0,0.0,56,0,37.5665,126.978,1419153
9993,0,2,0,0,9,4,8,50.0,0.0,10.0,40.0,0.0,27,0,37.4563,126.7052,477344
9994,0,3,1,6,0,5,7,50.0,15.0,15.0,20.0,0.0,29,0,37.5665,126.978,1476224
9995,1,3,4,1,6,2,4,90.0,0.0,0.0,10.0,0.0,16,0,35.7175,127.153,299487
9996,0,0,4,8,5,1,1,50.0,0.0,50.0,0.0,0.0,0,0,37.4138,127.5183,1677623
9997,0,0,0,6,0,3,0,10.0,90.0,0.0,0.0,0.0,14,0,35.8714,128.6014,281916
9998,1,1,1,1,9,2,4,40.0,30.0,0.0,30.0,0.0,84,0,35.4606,128.2132,348910
9999,0,4,0,1,9,1,4,50.0,10.0,20.0,20.0,0.0,75,0,37.5665,126.978,1301333
10000,1,4,1,4,0,1,2,50.0,20.0,0.0,30.0,0.0,64,0,36.4919,128.8889,448137
10001,0,4,1,1,0,2,1,30.0,20.0,10.0,40.0,0.0,31,0,35.4606,128.2132,527532
10002,1,2,3,0,4,1,2,50.0,10.0,10.0,30.0,0.0,61,0,37.8228,128.1555,207692
10003,1,4,4,5,8,6,6,30.0,10.0,30.0,30.0,0.0,49,0,36.4919,128.8889,448137
10004,0,2,2,7,5,2,1,10.0,20.0,50.0,20.0,0.0,29,0,37.4563,126.7052,477344
10005,0,1,1,8,5,3,8,25.0,60.0,10.0,5.0,0.0,63,0,37.4138,127.5183,1871078
10006,0,0,0,8,3,5,5,80.0,0.0,20.0,0.0,0.0,59,0,35.1796,129.0756,376716
10007,1,4,3,5,1,2,14,20.0,80.0,0.0,0.0,0.0,31,0,37.5665,126.978,1301333
10008,1,0,1,5,0,5,12,30.0,20.0,10.0,40.0,0.0,6,0,35.8714,128.6014,281916
10009,1,0,3,6,5,1,6,30.0,50.0,20.0,0.0,0.0,49,0,36.6357,127.4913,181330
10010,1,0,2,6,7,1,1,25.0,25.0,25.0,25.0,0.0,44,0,36.5184,126.8,225170
10011,1,0,1,4,5,1,8,80.0,7.0,6.0,7.0,0.0,33,0,37.4138,127.5183,1677623
10012,1,0,1,6,9,1,3,20.0,20.0,10.0,50.0,0.0,80,0,36.5184,126.8,225170
10013,1,0,3,4,9,2,6,40.0,10.0,10.0,40.0,0.0,14,0,36.4919,128.8889,247746
10014,1,0,4,8,0,3,5,20.0,50.0,20.0,10.0,0.0,6,0,37.4138,127.5183,1677623
10015,1,0,2,0,8,3,6,10.0,10.0,20.0,60.0,0.0,3,0,35.7175,127.153,190387
10016,1,0,1,8,6,6,12,30.0,10.0,30.0,30.0,0.0,79,0,37.5665,126.978,1350822
10017,1,0,0,5,3,2,4,80.0,0.0,0.0,20.0,0.0,1,0,35.7175,127.153,190387
10018,0,4,4,1,8,3,7,0.0,40.0,30.0,30.0,0.0,84,0,37.5665,126.978,1301333
10019,0,4,4,1,8,4,8,30.0,10.0,20.0,40.0,0.0,72,0,37.5665,126.978,1301333
10020,1,1,1,0,6,1,1,0.0,100.0,0.0,0.0,0.0,33,0,37.5665,126.978,1419153
10021,1,4,1,8,4,2,5,90.0,0.0,0.0,10.0,0.0,11,0,37.5665,126.978,1301333
