,userId,관심레저활동1순위값,관심레저활동2순위값,관심레저활동3순위값,관심레저활동4순위값,관심레저활동5순위값
98,53332002,음악-라디오 감상,낮잠자기,게임,만화책 보기,영상 컨텐츠 시청
99,53332012,종교활동,국내 여행,게임,온천-사우나-찜질방,맛집-카페 탐방
100,53332028,가족-친지 만남,수다-잡담하기,독서,소풍-피크닉,SNS -인터넷 커뮤니티 활동
101,53332058,영화관 관람,반려동물 돌보기,없음,없음,없음
102,53332231,산책-걷기,수다-잡담하기,가족-친지 만남,친구-이성친구 만남,해외 프로스포츠 영상 시청
103,53332346,사회봉사활동,없음,없음,없음,없음
104,53332444,걷기-속보-조깅 직접 하기,드라이브,등산 직접 하기,쇼핑,친구-이성친구 만남
105,53332466,헬스-보디빌딩 직접 하기,드라이브,없음,없음,없음
106,53332650,기타 자기계발-자기관리,없음,없음,없음,없음
107,53332722,수영 직접 하기,없음,없음,없음,없음
108,53332735,걷기-속보-조깅 직접 하기,산책-걷기,드라이브,해외여행,친구-이성친구 만남
109,53332782,걷기-속보-조깅 직접 하기,요가-필라테스 직접 하기,사회봉사활동,등산 직접 하기,보드게임-퍼즐-바둑-장기-체스 등
110,53332869,산책-걷기,등산 직접 하기,영상 컨텐츠 시청,쇼핑,맛집-카페 탐방
111,53332966,독서,산책-걷기,미술관-전시관 관람,국내 여행,없음
112,53333045,친구-이성친구 만남,가족-친지 만남,쇼핑,낮잠자기,종교활동
113,53333246,게임,만화책 보기,산책-걷기,e스포츠 영상 시청,영상 컨텐츠 시청
114,53333352,줄넘기-맨손체조-스트레칭 직접 하기,없음,없음,없음,없음
115,53333406,국내 여행,없음,없음,없음,없음
116,53333412,드라이브,축제 참가,소풍-피크닉,인테리어,등산 직접 하기
117,53333594,등산 직접 하기,가족-친지 만남,골프 직접 하기,국내 여행,맛집-카페 탐방
118,53333626,가족-친지 만남,쇼핑,게임,음악-라디오 감상,해외 프로스포츠 영상 시청
119,53333649,낮잠자기,친구-이성친구 만남,산책-걷기,수다-잡담하기,없음
120,53333666,맛집-카페 탐방,요리-베이킹,게임,어학-기술-자격증 취득,SNS -인터넷 커뮤니티 활동
121,53333839,춤-무용 직접 활동 및 수강하기,없음,없음,없음,없음
122,53333851,요가-필라테스 직접 하기,계모임-동창회-사교모임,가족-친지 만남,소풍-피크닉,사회봉사활동
123,53333869,게임,SNS -인터넷 커뮤니티 활동,산책-걷기,독서,기타 자기계발-자기관리
124,53333944,영상 컨텐츠 시청,만화책 보기,낮잠자기,쇼핑,산책-걷기
125,53334017,게임,걷기-속보-조깅 직접 하기,해외 프로스포츠 영상 시청,어학-기술-자격증 취득,e스포츠 영상 시청
126,53334151,영상 컨텐츠 시청,없음,없음,없음,없음
127,53334296,산책-걷기,쇼핑,수영 직접 하기,친구-이성친구 만남,헬스-보디빌딩 직접 하기
128,53334382,게임,구기스포츠 직접 하기,음주-유흥,없음,없음
129,53334445,구기스포츠 직접 하기,가족-친지 만남,없음,없음,없음
130,53334485,영상 컨텐츠 시청,없음,없음,없음,없음
131,53334526,수다-잡담하기,사회봉사활동,드라이브,기타 자기계발-자기관리,독서
132,53334565,영상 컨텐츠 시청,없음,없음,없음,없음
133,53334598,등산 직접 하기,음주-유흥,걷기-속보-조깅 직접 하기,산책-걷기,친구-이성친구 만남
134,53334634,SNS -인터넷 커뮤니티 활동,없음,없음,없음,없음
135,53334639,영상 컨텐츠 시청,낮잠자기,산책-걷기,없음,없음
136,53334856,걷기-속보-조깅 직접 하기,요가-필라테스 직접 하기,없음,없음,없음
137,53335502,게임,없음,없음,없음,없음
138,53335505,음악-라디오 감상,사회봉사활동,친구-이성친구 만남,영화관 관람,낮잠자기
139,53335621,국내 여행,SNS -인터넷 커뮤니티 활동,낮잠자기,음주-유흥,맛집-카페 탐방
140,53335669,게임,산책-걷기,없음,없음,없음
141,53335944,드라이브,쇼핑,음악-라디오 감상,산책-걷기,국내 프로스포츠 영상 시청
142,53336039,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,없음,없음,없음
143,53336044,테마파크-시설 방문,볼링_ 당구-포켓볼 직접 하기,없음,없음,없음
144,53336078,걷기-속보-조깅 직접 하기,쇼핑,요가-필라테스 직접 하기,산책-걷기,수영 직접 하기
145,53336287,SNS -인터넷 커뮤니티 활동,국내 여행,맛집-카페 탐방,쇼핑,게임
146,53336406,라켓스포츠 직접 하기,낚시,온천-사우나-찜질방,없음,없음
147,53336434,종교활동,영화관 관람,산책-걷기,국내 여행,수영 직접 하기
148,53336473,독서,맛집-카페 탐방,국내 여행,쇼핑,산책-걷기
149,53336495,테마파크-시설 방문,걷기-속보-조깅 직접 하기,연극-뮤지컬 관람,없음,없음
150,53336551,국내 여행,없음,없음,없음,없음
151,53336575,영상 컨텐츠 시청,낮잠자기,수다-잡담하기,친구-이성친구 만남,가족-친지 만남
152,53336669,영상 컨텐츠 시청,낮잠자기,없음,없음,없음
153,53336680,독서,요리-베이킹,쇼핑,SNS -인터넷 커뮤니티 활동,미술 직접 활동 및 수강하기
154,53336701,산책-걷기,등산 직접 하기,낮잠자기,수다-잡담하기,국내 여행
155,53336815,음주-유흥,산책-걷기,사진 촬영,국내 프로스포츠 영상 시청,국내 여행
156,53336821,종교활동,계모임-동창회-사교모임,걷기-속보-조깅 직접 하기,수다-잡담하기,음악-라디오 감상
157,53336907,독서,계모임-동창회-사교모임,등산 직접 하기,신문-잡지보기,헬스-보디빌딩 직접 하기
158,53336969,줄넘기-맨손체조-스트레칭 직접 하기,걷기-속보-조깅 직접 하기,가족-친지 만남,영상 컨텐츠 시청,산책-걷기
159,53336974,쇼핑,없음,없음,없음,없음
160,53336979,구기스포츠 직접 하기,종교활동,온천-사우나-찜질방,없음,없음
161,53336989,낮잠자기,독서,국내 프로스포츠 영상 시청,국내 프로스포츠 현장 관람,산책-걷기
162,53337098,골프 직접 하기,걷기-속보-조깅 직접 하기,골프 영상 시청,기타 자기계발-자기관리,독서
163,53337118,종교활동,없음,없음,없음,없음
164,53337230,가족-친지 만남,없음,없음,없음,없음
165,53337321,걷기-속보-조깅 직접 하기,요리-베이킹,영상 컨텐츠 시청,맛집-카페 탐방,기타 관광-여행
166,53337324,게임,없음,없음,없음,없음
167,53337551,헬스-보디빌딩 직접 하기,게임,기타 자기계발-자기관리,없음,없음
168,53337629,걷기-속보-조깅 직접 하기,기타 자기계발-자기관리,없음,없음,없음
169,53337806,걷기-속보-조깅 직접 하기,문학 행사 관람,온천-사우나-찜질방,독서,영화관 관람
170,53337832,쇼핑,게임,가족-친지 만남,맛집-카페 탐방,캠핑-차박
171,53337853,맛집-카페 탐방,없음,없음,없음,없음
172,53337965,국내 프로스포츠 영상 시청,구기스포츠 직접 하기,없음,없음,없음
173,53338015,골프 직접 하기,영상 컨텐츠 시청,친구-이성친구 만남,낮잠자기,국내 여행
174,53338099,요가-필라테스 직접 하기,영상 컨텐츠 시청,맛집-카페 탐방,없음,없음
175,53338255,음악 직접 활동 및 수강하기,없음,없음,없음,없음
176,53338573,낮잠자기,어학-기술-자격증 취득,산책-걷기,수다-잡담하기,영상 컨텐츠 시청
177,53338857,산책-걷기,계모임-동창회-사교모임,골프 영상 시청,없음,없음
178,53338865,국내 여행,볼링_ 당구-포켓볼 직접 하기,없음,없음,없음
179,53339162,액티비티-체험,없음,없음,없음,없음
180,53339208,영상 컨텐츠 시청,게임,없음,없음,없음
181,53339267,산책-걷기,문학 직접 활동 및 수강하기,없음,없음,없음
182,53339316,독서,산책-걷기,줄넘기-맨손체조-스트레칭 직접 하기,걷기-속보-조깅 직접 하기,음악-라디오 감상
183,53339534,게임,쇼핑,영상 컨텐츠 시청,낮잠자기,없음
184,53339543,쇼핑,산책-걷기,종교활동,자전거-싸이클-산악자전거 직접 타기,게임
185,53339653,산책-걷기,가족-친지 만남,낮잠자기,없음,없음
186,53339827,등산 직접 하기,없음,없음,없음,없음
187,53339922,게임,낮잠자기,산책-걷기,맛집-카페 탐방,자전거-싸이클-산악자전거 직접 타기
188,53340115,수영 직접 하기,산책-걷기,독서,없음,없음
189,53340126,축제 참가,없음,없음,없음,없음
190,53340207,영상 컨텐츠 시청,낮잠자기,만화책 보기,친구-이성친구 만남,가족-친지 만남
191,53340468,기타 스포츠 영상-현장 관람,갬블,산책-걷기,만화책 보기,드라이브
192,53340496,쇼핑,기타 관광-여행,국내 여행,영화관 관람,온천-사우나-찜질방
193,53340552,소풍-피크닉,가족-친지 만남,테마파크-시설 방문,쇼핑,낮잠자기
194,53340654,낮잠자기,만화책 보기,친구-이성친구 만남,걷기-속보-조깅 직접 하기,음주-유흥
195,53340719,생활공예-원예,없음,없음,없음,없음
196,53340871,국내 여행,낮잠자기,만화책 보기,산책-걷기,영상 컨텐츠 시청
197,53341228,영상 컨텐츠 시청,헬스-보디빌딩 직접 하기,만화책 보기,쇼핑,게임
198,53341267,음악-라디오 감상,쇼핑,해외여행,산책-걷기,맛집-카페 탐방
199,53341278,산책-걷기,계모임-동창회-사교모임,해외여행,가족-친지 만남,연극-뮤지컬 관람
200,53341319,산책-걷기,영상 컨텐츠 시청,줄넘기-맨손체조-스트레칭 직접 하기,골프 직접 하기,국내 프로스포츠 영상 시청
201,53341403,수다-잡담하기,미술관-전시관 관람,쇼핑,산책-걷기,독서
202,53341480,영상 컨텐츠 시청,친구-이성친구 만남,음주-유흥,SNS -인터넷 커뮤니티 활동,산책-걷기
203,53341559,기타 관광-여행,없음,없음,없음,없음
204,53341597,해외 프로스포츠 영상 시청,계모임-동창회-사교모임,국내 여행,헬스-보디빌딩 직접 하기,드라이브
205,53341813,친구-이성친구 만남,없음,없음,없음,없음
206,53341861,기타 취미-오락-휴식,없음,없음,없음,없음
207,53341970,등산 직접 하기,기타 취미-오락-휴식,산책-걷기,온천-사우나-찜질방,걷기-속보-조깅 직접 하기
208,53342118,반려동물 돌보기,온천-사우나-찜질방,낮잠자기,산책-걷기,드라이브
209,53342135,골프 직접 하기,미술 직접 활동 및 수강하기,온천-사우나-찜질방,계모임-동창회-사교모임,없음
210,53342157,가족-친지 만남,영상 컨텐츠 시청,낮잠자기,수다-잡담하기,독서
211,53342330,라켓스포츠 직접 하기,산책-걷기,해외 프로스포츠 영상 시청,쇼핑,맛집-카페 탐방
212,53342350,국내 여행,드라이브,없음,없음,없음
213,53342570,영상 컨텐츠 시청,만화책 보기,낮잠자기,게임,SNS -인터넷 커뮤니티 활동
214,53342960,영화관 관람,소풍-피크닉,국내 여행,연극-뮤지컬 관람,산책-걷기
215,53343035,요가-필라테스 직접 하기,독서,가족-친지 만남,국내 여행,해외여행
216,53343207,게임,만화책 보기,독서,없음,없음
217,53343309,낮잠자기,없음,없음,없음,없음
218,53343440,반려동물 돌보기,맛집-카페 탐방,가족-친지 만남,없음,없음
219,53343494,갬블,없음,없음,없음,없음
220,53343547,헬스-보디빌딩 직접 하기,국내 여행,구기스포츠 직접 하기,없음,없음
221,53343795,등산 직접 하기,걷기-속보-조깅 직접 하기,보드게임-퍼즐-바둑-장기-체스 등,헬스-보디빌딩 직접 하기,온천-사우나-찜질방
222,53343797,독서,맛집-카페 탐방,SNS -인터넷 커뮤니티 활동,쇼핑,친구-이성친구 만남
223,53344211,맛집-카페 탐방,음악-라디오 감상,드라이브,쇼핑,게임
224,53344309,쇼핑,영상 컨텐츠 시청,음악-라디오 감상,기타 취미-오락-휴식,게임
225,53344413,해외여행,국내 여행,없음,없음,없음
226,53344488,골프 직접 하기,없음,없음,없음,없음
227,53344646,SNS -인터넷 커뮤니티 활동,게임,영상 컨텐츠 제작,낮잠자기,영상 컨텐츠 시청
228,53344717,가족-친지 만남,낮잠자기,온천-사우나-찜질방,없음,없음
229,53344921,골프 직접 하기,계모임-동창회-사교모임,걷기-속보-조깅 직접 하기,헬스-보디빌딩 직접 하기,온천-사우나-찜질방
